FID,fid,the_geom,cat,F_CODEDESC,F_CODE,AREAKM2
swamp.1,1,"MULTIPOLYGON (((-430886.5828590883 6560927.713712817, -430435.91468142334 6561050.81974672, -429691.47547330346 6561748.174239712, -429785.5863110978 6562906.305593014, -431243.26819025783 6563529.26501437, -433053.9150802947 6562591.013711179, -433238.160992108 6562322.352311338, -436218.336349083 6562463.31617698, -440720.2163017013 6562678.092374558, -443824.2175779589 6558630.92105894, -448387.1279317719 6559027.05015654, -451566.01042471355 6555191.024341473, -456058.27647690295 6555379.392817546, -459001.9650059443 6559148.66728229, -462506.01888316136 6559648.840380525, -461987.0885189185 6561581.1638883995, -461882.97543358855 6563104.3583012745, -462329.31005564943 6563792.537367477, -464120.26478927094 6563275.334499016, -465166.3415572165 6561780.355210568, -464784.11265422305 6560412.85598526, -463937.66196105303 6559798.651056984, -467836.18803932425 6559996.225355736, -472466.5240040622 6559936.229388923, -472311.21013326466 6570702.531405951, -472545.2903151578 6580583.602321534, -477136.72454527795 6580591.1225971235, -479084.74224692816 6586581.172010041, -482641.4700602767 6588925.667836475, -487168.337276422 6589284.5429828735, -490331.2122575856 6585389.721798049, -492093.4368678628 6577131.785364098, -496553.9501205366 6577849.303778707, -499408.6693176774 6581777.1007755585, -503917.2023593814 6582076.521802453, -507086.00665796513 6578175.878503481, -510486.07334354654 6574999.148621166, -510911.70063543285 6568222.414198683, -512078.1281386429 6568659.2033566, -512594.41501449345 6570341.699931121, -513631.08873127395 6570441.271878304, -514775.9845289218 6570688.537712811, -514961.614143429 6569153.458851027, -514931.6704497959 6568402.610228422, -513718.71437864605 6566070.48894543, -512459.8582606099 6565081.715290875, -511082.7253452873 6565490.552298515, -511245.1485330535 6562913.528079387, -506913.10365840717 6561777.2252629865, -503819.40309760143 6565921.588919394, -501154.25637154735 6561555.643270852, -496567.22587841435 6561503.626564101, -494697.9009521417 6555701.028873429, -495472.6094861391 6554274.928530167, -494716.635280428 6553695.939665115, -495200.7985365697 6543507.7827276075, -498988.0237272651 6541508.837223197, -503233.4811215201 6540918.378384227, -503757.02029967756 6528763.220754755, -507261.6271676156 6525854.996303092, -511784.8947481688 6526118.737057979, -514986.5487362446 6522258.119760826, -519531.48826301674 6522587.834422083, -521543.6616302641 6515008.835397578, -522203.8893258822 6503199.552475436, -521062.7856670639 6495416.402756719, -521666.58676188224 6483243.65130945, -525916.237668752 6482597.994985005, -528589.8149702325 6486985.132526488, -530526.2679909966 6493002.4284463255, -527865.8201389113 6498592.61046227, -526552.5638304182 6508380.047102277, -525817.795286689 6520309.475444138, -529215.2644886654 6523063.330976328, -531851.7110131254 6527498.509269776, -536369.8860725423 6527152.282457566, -536988.5194993108 6515152.989837768, -537673.6718725577 6503364.489023541, -534855.5272581704 6499316.321148171, -535425.6780336231 6487452.870366255, -539951.6344871966 6487676.813681143, -542045.1610743633 6480280.991344523, -546332.452757521 6479752.343496736, -549824.2591497021 6482328.11447699, -549048.949506783 6494285.742291436, -551031.8642320549 6500171.776962454, -555005.3870635414 6498687.609787897, -558793.9484562438 6496610.6276892675, -561931.4207339159 6492473.479301625, -566594.9333761005 6493149.482840551, -568257.2789750479 6484337.81180357, -570445.7710699376 6477174.730619671, -573078.5727219292 6481626.378316176, -575939.0132572851 6485573.453724849, -575333.2917467547 6495321.97299243, -575123.7006153528 6501891.837102395, -577954.1130198605 6501815.5810734965, -579693.561176732 6498869.069337749, -582101.8579456948 6498048.119084326, -584821.9320667163 6498219.696306391, -587541.9556153623 6498392.0722173145, -586656.4144737072 6512343.664390372, -586235.9866193548 6519504.90404584, -584472.6405581373 6522370.269771655, -581636.0864506059 6522468.714500284, -580359.442089863 6514053.839213386, -576422.3871383066 6505727.894325412, -571803.9917225557 6505221.559029002, -568647.7122700688 6509298.238114134, -564025.0191900406 6508717.664172359, -560889.2424257182 6512850.563332342, -556362.9010195669 6512576.715829899, -553796.6962120412 6518489.690963705, -552603.0920353604 6528738.565710774, -548541.164419428 6526982.8172945045, -548939.896193099 6515864.330371677, -544252.4635797746 6515786.655982521, -542616.8366535432 6524608.28798553, -543924.5564964701 6531973.031070793, -546614.8795412675 6536271.514783615, -551178.6333336437 6536432.468440427, -546794.6250852919 6540196.449673253, -544403.0133125369 6546628.041431077, -543037.8142907952 6556292.736210707, -538462.7133994689 6555809.8165029725, -535349.005011165 6559932.52092616, -532153.6578811642 6563790.356115632, -529269.0528376063 6568627.049725455, -530798.4600516326 6575491.708481997, -533916.4942788769 6571399.285390995, -538494.4635253287 6571916.575227627, -542993.3893813882 6572190.077300646, -546194.7056567688 6568344.896495933, -545260.7002451029 6582522.887799987, -547173.2462527663 6584415.621121865, -548060.3660487282 6588583.788599524, -545487.9376658482 6592214.936085625, -544468.5613317497 6597376.023351377, -544048.3938281374 6604442.4467518125, -540062.3994915003 6608478.382756483, -535504.7227918765 6607963.269198238, -531024.9353538798 6607701.884693856, -526973.8440015949 6606482.666212159, -527458.4183719519 6595136.793427438, -524716.6525897032 6590987.038366648, -520230.62907749775 6591327.516653196, -516932.55943748384 6594821.9716942655, -513750.3149699428 6598667.827685365, -509894.00804854505 6598213.57097993, -508674.0526133903 6602683.544673222, -506704.7099652705 6602377.2958636265, -505741.972089915 6601272.788822518, -505263.8903712598 6600907.979581358, -503568.2987412567 6597305.748336802, -501445.0557899336 6593963.282048851, -499181.8122859865 6597306.74817493, -496597.7478138992 6600366.894424491, -493949.27732027695 6602813.944835515, -491412.8550131778 6605872.22000066, -488602.9301602658 6605158.668067495, -486333.0754732313 6607891.287479415, -485486.5485387327 6614892.617163201, -486508.00364480505 6621313.524423207, -480524.45976770227 6618961.399851411, -476905.63865622977 6616783.64013998, -474244.2458105045 6622187.575875116, -475965.56702663325 6628665.032149955, -476479.10241681384 6637879.273115623, -474308.9160449256 6644798.748788035, -469978.23527646833 6644266.505140167, -470716.3883616724 6632448.497888217, -472592.26728305884 6624611.0179026155, -469851.5339047725 6620441.075966715, -465380.00014959427 6620212.052271799, -463373.2104314703 6627634.105626277, -459074.3528218662 6627935.1808206625, -455848.65754746 6624871.00428211, -451854.32093115104 6623555.195231876, -447292.7475952451 6623056.081853536, -444236.99839221494 6627200.673039119, -441665.40546315163 6632821.798595761, -441668.9817880901 6643281.947410715, -442238.1829357485 6652438.337437832, -441441.6626735992 6663522.64245464, -437116.87868937984 6662523.911219046, -434144.79369500704 6658898.494227203, -431450.7252881443 6654622.19086046, -430364.4412939705 6646637.164283549, -425903.61693215504 6646427.422464602, -421353.37772232434 6646426.33568867, -418684.5586398647 6642071.8239010945, -414221.5026091633 6641867.80507107, -412596.61610446527 6635090.7235885365, -410396.2579255459 6629637.354432613, -408086.77409660316 6635998.985840432, -404701.74142906384 6639084.657422963, -404440.87496589293 6647790.222018701, -404186.64798671135 6647845.430510841, -403648.6688062533 6648763.609624399, -404398.15112109995 6649176.459281578, -404333.6934230282 6651334.726022905, -400590.8594950159 6653316.40843479, -397900.480894089 6649006.502562921, -397134.7598905032 6640203.712117453, -399070.26625886286 6632731.8236451745, -399509.8949297501 6620718.334806577, -400025.76814549643 6608931.26478932, -398839.9678581267 6601093.442188726, -399303.5929836132 6589152.132852301, -402589.72865240544 6585725.153339954, -404218.6264879781 6577282.459874664, -405092.81945252 6565899.933272225, -400821.0036065828 6565171.865347369, -400776.01961740386 6554158.218654746, -403386.7517463705 6548659.220392156, -407973.8723807544 6549097.123351593, -412035.68074880657 6547952.329604986, -412532.64668680634 6535715.033950607, -409039.4552834895 6533162.814490192, -406284.54002580576 6528907.99852789, -401749.5914846807 6528748.2239452135, -399046.62537631224 6524364.731326763, -399635.28779797006 6512478.3921937365, -402833.6871626886 6508705.49125117, -405972.44560290314 6504747.705310556, -408987.1821639589 6508420.763576172, -413308.88686354656 6509098.477991713, -416532.73959942284 6505389.264122227, -419644.7592835206 6501334.549919913, -424176.5507454943 6501541.182229382, -427809.56902042683 6503800.688771843, -431510.00388525176 6505903.866441662, -436039.5579160207 6506116.306962054, -440568.99621854245 6506330.974408266, -443282.75872914505 6510673.049328626, -446154.2309479597 6514648.892892209, -450516.66339371837 6515237.96075718, -453467.12450183433 6519031.314866875, -456641.7287317943 6515141.8525364855, -461172.14484460466 6515386.319607434, -464087.41916665825 6519248.145437444, -468475.77624586417 6519780.542331739, -473121.12888905674 6519737.108884656, -475774.848480027 6524177.752797611, -480295.4331781749 6524411.91129192, -482076.2994714745 6530809.876561572, -480135.44155632297 6538508.950137521, -476281.6224347311 6540306.7567074755, -473137.21746681986 6544284.453710109, -469918.21185009053 6548028.837458396, -465368.42948253977 6547892.0194966085, -462878.1741459235 6543094.436401821, -459863.3400575297 6539472.616126491, -455348.2739184879 6539242.8242906425, -452175.9722997133 6543114.868086055, -447664.5260397986 6542894.495729095, -443152.97110065375 6542676.3348181145, -438641.3098469011 6542460.381790673, -435510.7616139795 6546436.688879757, -430967.48736600875 6546123.057901015, -426457.5033663242 6545913.077865957, -421856.2210597115 6545426.530190889, -421671.7568397125 6547090.610219877, -421226.67537154525 6546570.977553302, -418331.3481374255 6545995.192842862, -417384.6999307236 6546470.899216225, -417081.2951299981 6547267.039882356, -417707.1637265363 6548013.7732097665, -421580.1544920416 6547932.377365973, -420699.62087986903 6555910.343778292, -424431.89668225375 6557890.102460871, -429007.33904735814 6557933.239318003, -430886.5828590883 6560927.713712817), (-452646.565061305 6611723.386542098, -450885.53315131634 6612989.284884049, -450307.8500686388 6614748.984536697, -450658.63101359626 6615367.880923856, -451785.26677404356 6614949.451266722, -453373.71321764047 6613123.482427822, -453377.18507155497 6612034.076326282, -452646.565061305 6611723.386542098), (-424676.03058682586 6633356.206723697, -423158.13667560887 6633997.897968037, -421727.3414213513 6635214.753929438, -421579.7754203196 6635906.306347374, -422743.3929771498 6636822.075648157, -424070.011531656 6634952.053301725, -425856.9269171086 6634938.34185181, -425679.20897571975 6633793.755122816, -424676.03058682586 6633356.206723697), (-480637.398756817 6591918.333481971, -478927.30955518887 6592422.270704192, -478741.2978920574 6593960.106464648, -479201.5693952126 6594730.221805017, -481663.67996132356 6594698.551278536, -482310.100282093 6593933.8278495185, -480637.398756817 6591918.333481971), (-479944.8472412439 6600853.788108681, -479574.1353566834 6607922.469406969, -480009.55009068415 6613164.058068385, -482836.76075312804 6613191.0064242305, -484110.11035656516 6608926.90987532, -484592.2344864915 6601614.58175031, -479944.8472412439 6600853.788108681), (-412735.0212639225 6569387.416388143, -409436.55823483306 6569275.824532448, -409121.10546911845 6576349.063574407, -408805.6747760887 6583421.82112886, -408440.8181347233 6590608.329058817, -409963.3363089279 6593432.009060221, -412738.8380046144 6593808.934272818, -413230.47554490523 6587260.49930892, -413549.43422531226 6580188.146221738, -413875.49245331 6573098.992347406, -412735.0212639225 6569387.416388143)))",1,Marsh/Swamp,BH095,1263.08
swamp.2,2,"MULTIPOLYGON (((-116544.11048634273 6572943.330806758, -119242.25065101756 6572978.084186072, -121940.37873062062 6573013.629512805, -124638.49257592566 6573049.966428512, -127338.6297129818 6573092.664017824, -128849.86497290246 6569088.817621763, -131971.6977417847 6565310.32842813, -132071.613100551 6558227.890116333, -131431.73344938972 6552550.1488410635, -130571.7826940479 6558098.366336594, -128962.93645470089 6561053.814478559, -125240.25568815743 6561002.202541284, -122538.60386764971 6560965.689719495, -119801.95500543625 6561018.163480744, -118767.96286790709 6556782.612626426, -116017.06304709696 6556863.75043033, -113565.91400934286 6557511.814139193, -113580.38991684573 6564869.963789802, -110664.33281152039 6564834.26642899, -107853.18485392132 6564504.316742865, -106850.71083857647 6569088.235895548, -104260.05614578883 6569349.215578925, -102837.84527888891 6572784.563663572, -100137.58077109561 6572749.064450909, -97351.10725439667 6572480.764527034, -96617.37017920153 6577769.003596254, -95022.78570764707 6580729.7849811055, -89406.67392443244 6576654.166312797, -86469.41739623692 6580816.53171608, -82830.35680838198 6578254.043875191, -78886.19291214435 6576812.081517096, -75967.4894247946 6572735.0711140605, -73053.31743583316 6568293.248956735, -70122.95155568304 6572469.502070947, -67505.6099911584 6577482.506192128, -67418.30447363996 6589277.475924028, -67451.15814040312 6600764.60990673, -72009.70681328682 6600605.694192515, -76493.11979506045 6600642.256505953, -77851.4126608771 6608695.017535788, -80761.90650380982 6612757.392251756, -85347.09198427227 6612519.594441205, -85540.9190300062 6624086.17366649, -81341.6540348199 6624781.267757889, -76870.06790604893 6624742.329468355, -74038.97665273421 6620485.7357989345, -69479.60030543903 6620668.432805554, -65005.97964833646 6620635.308087899, -60989.75046921684 6619425.259825993, -61231.73419808341 6607208.405537456, -57782.306928089434 6604519.325500715, -54893.0022228237 6608760.005690642, -51892.490108911945 6612696.204421934, -48884.18673766628 6616605.497027508, -44375.37671458538 6616493.7075362895, -39899.69799939568 6616472.883302936, -36945.57688811127 6620510.743379084, -32359.73977590444 6620720.173820326, -32187.634850487135 6609484.388363279, -34751.65753200159 6604401.915134172, -39343.50538875408 6604711.436889771, -42309.984268317814 6600690.362304048, -42954.06290781342 6590463.983138218, -43009.879430192064 6578666.211383213, -43127.68798317681 6566706.724751005, -39522.902416410565 6564369.111716126, -38241.36608828561 6556017.21964072, -37015.2177837925 6547512.700821034, -41674.09765188525 6536128.894734735, -43210.91996314686 6536136.028061124, -44747.741054229264 6536143.417394816, -46286.68063308806 6536151.073457749, -49241.131818328264 6540192.368627706, -50835.02262275708 6547723.225022947, -50769.38423333799 6559524.473295849, -52294.17777224394 6567220.040728279, -49538.431802393396 6572038.144105135, -49108.408361490525 6582857.0126262335, -51565.04667441196 6588138.147767665, -54393.28049406958 6592449.889643214, -56733.88391902328 6586723.254747391, -58925.9687838884 6580597.090599973, -59892.80847625489 6571180.675074084, -59970.26021692267 6559380.803983547, -58394.58226437248 6551827.082837951, -58666.78587858071 6540062.297705769, -63246.49386126126 6540270.104686019, -67759.52115865941 6540302.36800445, -70835.93501096143 6536493.6460221885, -75362.48592749608 6536136.2733489415, -78224.09433322481 6540385.703822653, -82737.02380161836 6540425.310456838, -85697.66456008705 6536287.9496783335, -90381.43679385787 6536188.793347866, -93203.48200440234 6540525.677206358, -97812.08392545095 6540332.5805288935, -100648.924175178 6544624.682896726, -103459.17905810663 6548972.627716642, -108085.61422487286 6548729.519810396, -110769.95913717977 6543829.689115972, -111070.56825123675 6532455.939529469, -115671.3344010747 6532742.684783467, -120187.91320624536 6532800.6248539835, -124704.45099760823 6532860.773158959, -129220.95322560299 6532923.130830399, -132124.76731683646 6537026.807729721, -136654.6836302574 6537051.460315096, -141169.1374332122 6537119.664543908, -144663.32179076647 6534394.526142416, -146271.3260981336 6526485.785575573, -148040.53949753437 6519014.420799324, -150396.45212858886 6513143.369042755, -154312.77769926176 6514729.764275788, -156109.38284428164 6521578.262378078, -158696.85824661326 6526455.98104442, -158493.39937429735 6538258.192325468, -156759.38726182777 6545834.959721274, -153557.17157462722 6549363.625939828, -152025.2689461248 6557481.256314233, -150422.960083453 6565403.383169925, -147231.92523578243 6568930.837539045, -145651.66229853246 6576894.723191212, -142830.39001098572 6581431.8186251875, -139408.71821957442 6584312.331706872, -135168.02213998078 6585550.4789337795, -132382.1280151406 6581194.358662364, -127889.25099796774 6581130.445933516, -123396.34313014342 6581068.731979443, -118905.51140392805 6581009.243644661, -116544.11048634273 6572943.330806758), (-144597.4151451998 6548810.89236263, -143768.20756991138 6551194.577279249, -144943.33999089798 6552781.2735730745, -145749.95682851478 6552497.579835586, -146280.19608621477 6551497.472741178, -145740.96523451575 6549064.484943393, -144597.4151451998 6548810.89236263)))",2,Marsh/Swamp,BH095,489.739
swamp.3,3,"MULTIPOLYGON (((116317.50924777765 6564893.932797589, 117821.18819896283 6561663.476689682, 120236.65094769468 6560924.464519258, 124035.32200289192 6560974.727681033, 126736.86603114335 6561011.431103021, 129438.39919913943 6561048.927757147, 132139.9212739731 6561087.217640219, 134841.432022735 6561126.3007489685, 137542.93121251062 6561166.17707998, 140244.4170302185 6561206.854036781, 142955.17081274258 6561331.585775985, 145684.41892338052 6561620.865842708, 148629.12075248896 6557320.909997821, 145926.49307166494 6557277.766858277, 143223.85286925512 6557235.417272241, 140521.20037826517 6557193.861243344, 137860.28852094783 6557048.4457734525, 138012.64855235533 6549118.393653329, 135101.92859059747 6545046.658139284, 132045.75202403855 6541333.868145306, 127669.62157876091 6540928.829950019, 123045.3661580712 6541151.559934987, 120232.89892736517 6536811.339794727, 116631.394836149 6534454.262890713, 116962.08307540067 6522198.695047143, 115410.39528537687 6514665.885244126, 117770.53965269693 6508852.9514251705, 118760.17848678082 6498967.359184053, 115122.28402240474 6496415.751509085, 113728.82330327378 6504844.558605631, 109279.78563694704 6504048.352141471, 107742.57865608606 6496454.877734988, 103208.37772734677 6496403.492365538, 100153.51571681623 6500331.165270931, 98648.06134757111 6508427.951162809, 96905.47220647907 6515873.352583851, 99621.99389924337 6520488.720431261, 104258.06172357587 6520251.404780673, 104435.28565879026 6531274.4770984305, 106959.91640033764 6536357.572881118, 109774.42008794281 6540699.23401191, 113628.75368144596 6542413.781400823, 113381.1190833155 6554474.130177429, 116317.50924777765 6564893.932797589)))",3,Marsh/Swamp,BH095,106.636
swamp.4,4,"MULTIPOLYGON (((-328809.4740140745 6549951.986132647, -326557.6513350441 6539353.169528254, -326307.35672797024 6532462.55536207, -326600.1030427083 6527795.1835723, -327395.5617984427 6528425.090158649, -328113.91329845175 6527876.624472348, -328139.71264920535 6526554.865900851, -326715.33199547156 6526401.725802205, -326684.84052617225 6526422.829537846, -326756.9051122095 6525288.482241718, -324655.0867745158 6522100.27535591, -321717.1389456931 6520957.560513405, -319057.09903097816 6521533.539477127, -318409.44764681795 6527791.70106352, -318741.0751056876 6535333.761487656, -319877.5668103138 6541594.664336063, -316712.9510171097 6545358.299766974, -312252.63998468197 6545352.892597895, -307638.62112200237 6545447.064637645, -307820.93750567676 6534155.835323918, -310683.7128526169 6529510.756208549, -311542.89048867865 6518404.190435983, -305442.79821969365 6512951.231824802, -305575.7751535988 6508931.917787264, -305708.66558399727 6504915.224358935, -305841.6527963433 6500895.611627343, -310373.72784261126 6501046.531231333, -311420.46230878844 6507277.247537393, -311043.9040498023 6507333.90246259, -310746.12832200335 6508718.805249626, -312194.35187768925 6511524.1148758605, -314445.68851516314 6513455.6553023355, -315194.0232732111 6513345.268019369, -315256.3659309553 6512080.077086102, -313222.34038019803 6509068.599466504, -316162.5489704221 6509537.519163319, -316865.1193659154 6497977.214564148, -315469.0825050762 6490421.416573275, -315768.33726372645 6478321.032112189, -319880.40159019857 6477230.228019874, -323591.1068806879 6479345.139739321, -326578.6964030033 6483153.184155987, -330201.6795393807 6485467.414197549, -332654.84085765964 6488820.082735327, -334718.33321631706 6481776.205964738, -338541.46729241376 6493987.522309421, -333951.55722110916 6493734.88700361, -333659.38431193895 6500708.609235468, -334097.1707885497 6506160.61979583, -336955.30285644444 6506086.803176192, -338247.4509071328 6502023.474750573, -342477.9103860891 6502093.106103095, -347040.1950858357 6502349.082970844, -349804.7084771301 6506647.0923240725, -354404.21276687214 6506653.0275915265, -359021.356489252 6507086.321903794, -362078.37770994805 6502925.409778942, -366083.9001474532 6504323.011941004, -365155.2567148149 6515414.819210649, -360782.9758864588 6515684.047004294, -360636.4807594179 6527263.049295352, -363349.27274032525 6531648.661848431, -361415.0637889119 6539098.885935706, -359664.09605480183 6547082.85477929, -355131.27255491243 6546906.892196275, -352425.5105616417 6546802.919814262, -349637.72593961057 6546458.177877828, -348494.1425050721 6550953.575215652, -345694.16084460757 6550570.717056605, -342989.47096451785 6550469.520422373, -340195.01114278374 6550102.416524177, -339069.6637925913 6554640.881197116, -336308.9317989063 6554137.551125531, -335266.766312595 6550126.73021873, -332536.56289283076 6550085.898047415, -328809.4740140745 6549951.986132647), (-346964.9841136556 6535906.460694074, -346477.2495138685 6536062.808925234, -346474.4672872228 6537152.450209206, -347507.86956904415 6538339.324566486, -349882.059967473 6537738.711541247, -350433.8351789106 6536902.843688995, -349558.69720861793 6536193.015877518, -347921.5110912 6536602.468467166, -346964.9841136556 6535906.460694074), (-361648.25376208464 6513038.535340233, -356823.09579015884 6513164.383178243, -354702.43277954496 6512638.96448581, -353276.01260605175 6512764.6084857695, -352972.99211540195 6513565.68487462, -354372.28208123014 6514365.331356096, -357619.4724490223 6514471.029051836, -362566.6816165316 6514580.628162037, -363308.9834117368 6513885.858030347, -361648.25376208464 6513038.535340233), (-326507.1698693939 6505415.29792188, -321134.10924375086 6505437.963238661, -320888.061755271 6512517.936041354, -321422.74950895645 6517752.7806924945, -324236.74356861407 6517612.648238887, -326914.55675346137 6517598.884353522, -327134.4674651205 6510429.552781739, -326507.1698693939 6505415.29792188)))",4,Marsh/Swamp,BH095,230.417
swamp.5,5,"MULTIPOLYGON (((193443.32912386864 6542071.9533605315, 196150.4906195642 6542129.088446325, 198857.6352405095 6542187.018433507, 201606.70512169637 6542363.053739882, 204286.58217724165 6538287.110482366, 204555.38576961186 6530931.911477482, 202120.6456536789 6530199.287960326, 199755.1195407088 6529291.422119812, 200027.01875901784 6521918.967986434, 200180.1530549117 6514837.270421079, 201089.5050350256 6509861.7027098, 204908.94183189402 6510156.104035581, 203627.46132589437 6502079.990993422, 199027.38443450612 6501802.651333768, 196019.52661817824 6505941.300438652, 192686.99384986778 6502910.670210286, 191888.63674826978 6493662.118366057, 188377.5521696608 6491056.119303714, 184288.506644584 6489335.477936214, 181319.91545089352 6493579.910897396, 176784.24417357295 6493492.405673753, 172183.69137239092 6493228.496193089, 169183.40022078625 6497370.604787034, 164611.75828266164 6497382.645077671, 161728.99881481373 6493217.927331135, 158855.5117011033 6497695.390628345, 160308.49268071726 6505399.070692364, 160060.01309211738 6517313.692915014, 163041.11289850285 6521276.49628113, 165825.54581641787 6521143.029694947, 166704.85635360138 6525734.680298386, 169556.84900825698 6525437.29405467, 170620.63114782987 6529564.19062595, 175895.83966601855 6529663.031242008, 178377.12584159424 6530281.495244155, 179732.7600136182 6533672.260446973, 179639.5340165784 6540645.770362852, 179406.1511733575 6547962.47023569, 181361.4492161434 6549868.340572033, 184066.27918348135 6549921.91304352, 184270.7478989125 6537974.085520699, 186938.8783250968 6537919.620511595, 189647.22192755569 6537974.833674509, 192391.264072629 6537945.680734818, 193443.32912386864 6542071.9533605315)))",5,Marsh/Swamp,BH095,151.251
swamp.6,6,"MULTIPOLYGON (((415717.5354649697 6420596.817675361, 414161.5236622828 6420527.753462687, 412605.50038590026 6420458.948444582, 411047.31941636157 6420390.308255963, 409714.74633328326 6424446.577410411, 406830.1217256713 6424498.23755682, 406479.3841513052 6418918.94095578, 404919.72547954845 6416096.941051505, 400322.4329586279 6415899.064408302, 399873.37289325835 6425339.049234061, 396205.81094791193 6427803.58229172, 391951.5250022949 6426894.0181947965, 392349.13631670614 6415311.372124155, 387784.9728303371 6415712.4341183705, 384485.73025951226 6419260.411654797, 379913.54058961093 6419073.618304738, 379377.3844264949 6427355.074850661, 376550.0027392607 6426990.910811041, 373685.7007468738 6427170.211282189, 372896.61930290476 6422555.618685341, 370005.28247833566 6422790.550730396, 369015.0483818124 6418637.402401992, 367456.53699646157 6418576.0494374875, 365900.16214140883 6418515.040417821, 364343.77715698956 6418454.290657696, 364420.3842014947 6430820.880175436, 367058.9611200397 6431157.33394109, 366674.44471944566 6438486.539262942, 365315.2629161244 6443062.730668677, 364403.00183174247 6438086.7419544505, 363130.0649686156 6442844.218767877, 360297.27683731064 6442456.877651958, 358744.8598766881 6442397.070142405, 353346.65438031405 6442191.118034313, 350610.0325304926 6442087.905761496, 347873.373487658 6441985.491457948, 347048.10317531886 6464112.823761663, 349148.5306456506 6469990.360401709, 351309.3166403166 6475720.628273882, 354336.5919050488 6479428.396863189, 353760.098318275 6491521.570528888, 351657.6262858787 6498473.754130237, 347124.12011795014 6498302.998340381, 344390.1948262201 6493923.781098339, 343134.1063637858 6486082.297869462, 342985.6209663675 6490099.185926519, 341439.00431206694 6490042.18025856, 339894.5085288302 6489985.510571578, 338350.00334007683 6489929.09816952, 335997.3180425329 6493868.555846866, 333455.37761249044 6494292.804610508, 333318.4223300023 6501715.831799313, 330633.91807047883 6501722.345149371, 327914.7756068224 6501625.776637532, 325433.47562501143 6502217.860708661, 325281.38860178867 6509578.673100148, 329989.2646095233 6510424.654275265, 329620.85231641453 6517777.271271937, 334144.8220273977 6517939.478007406, 338668.7127736224 6518103.8913552, 343192.5226242999 6518270.518683505, 346612.364377027 6515205.795210277, 349517.3080269574 6510619.442594787, 351148.2690673425 6502296.239370682, 354891.56607465335 6504635.619671024, 355653.1607451567 6522765.125365332, 355498.56627860636 6526783.224682341, 360056.23072096746 6527070.494967622, 363155.0041729763 6523056.570452519, 367676.34604286024 6523235.1762403585, 372294.4505504171 6523702.799025723, 375342.92999802984 6519518.566717793, 377636.34516541247 6513096.243757055, 377261.22076327325 6503283.216069608, 372638.3848039308 6503315.384261576, 368807.0790335489 6501506.072449663, 365276.7685222952 6499000.074420041, 361134.8898239721 6497914.136507139, 361688.4783230781 6485732.0402141055, 363748.9581303073 6478629.445797532, 366969.5436864624 6474918.720489441, 371478.3949614345 6474983.986681984, 370205.9747634743 6467058.326889515, 371954.4136803667 6459005.532170154, 376510.8609313456 6459199.692752075, 381544.4156445413 6455377.568885389, 381879.8812895432 6444361.578768791, 384329.01386073336 6443626.684145859, 385321.14348314307 6438607.473543224, 386953.36220204626 6435466.12729376, 389819.57467525336 6435296.673198345, 389891.63809273863 6441534.225036161, 389595.6773479142 6448616.499165707, 389299.62919607793 6455698.3779492965, 393022.96293032286 6460095.58415141, 396900.8502602804 6461839.287121467, 398773.9891350416 6468177.736219563, 403398.21979548666 6468196.720154548, 406144.30637425726 6472523.61993389, 410335.69220531074 6473537.510098805, 413510.0759226543 6476872.566700666, 418053.89600838115 6477075.900871221, 422599.4065658379 6477289.841357876, 425778.76067338104 6473402.199510305, 425962.87362664123 6469383.264053721, 426146.8662619804 6465366.952875884, 426330.9923463662 6461347.7265856685, 426515.12497462495 6457328.355350816, 424887.42313638754 6460510.050356927, 422305.9565538729 6461427.964826261, 421547.2763405136 6456807.9366863575, 418733.867324868 6456869.761197939, 417605.11052257824 6453091.093409882, 414466.62364595383 6448731.5420648465, 412570.39628599613 6456447.516921705, 410860.36737164855 6464707.11127479, 407671.3358383077 6461338.895702568, 408336.0003121115 6449199.291646745, 403994.49768473004 6447974.701951606, 400917.69957177987 6452166.4730094755, 399041.96673614497 6445823.931622673, 401691.4459142892 6440366.481815294, 404791.14127989643 6436228.122706129, 407874.3375894051 6432037.065371961, 415181.3580188422 6432656.203741851, 416904.35879937117 6429756.696933023, 415717.5354649697 6420596.817675361)))",6,Marsh/Swamp,BH095,350.414
